0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
6,0
0,-32003
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31990
0,-3
-6,0
0,-6
0,6
0,0
63994,0
6,0
0,3993
0,0
-63994,0
-6,0
0,4006
0,0
63994,0
6,0
0,3993
0,0
-63994,0
-6,0
0,4006
0,0
63994,0
6,0
0,3993
0,0
-63994,0
-6,0
0,4006
0,0
63994,0
6,0
0,3993
0,0
-63994,0
-6,0
0,4006
0,0
64000,0
6,0
0,-0
0,-6
-63994,0
-6,0
0,-3993
0,-0
63994,0
6,0
0,-4006
0,-0
-63994,0
-6,0
0,-3993
0,-0
63994,0
6,0
0,-4006
0,-0
-63994,0
-6,0
0,-3993
0,-0
63994,0
6,0
0,-4006
0,-0
-63994,0
-6,0
0,-3993
0,-0
63994,0
6,0
0,-4006
0,-0
-64000,0
-6,0
0,6
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
6,0
0,-32003
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31997
0,-3
-3206,0
-0,0
0,31997
0,3
-3193,0
-0,0
0,-31990
0,-3
-6,0
0,-6
0,6
0,0
63994,0
6,0
0,3993
0,0
-63994,0
-6,0
0,4006
0,0
63994,0
6,0
0,3993
0,0
-63994,0
-6,0
0,4006
0,0
63994,0
6,0
0,3993
0,0
-63994,0
-6,0
0,4006
0,0
63994,0
6,0
0,3993
0,0
-63994,0
-6,0
0,4006
0,0
64000,0
6,0
0,-0
0,-6
-63994,0
-6,0
0,-3993
0,-0
63994,0
6,0
0,-4006
0,-0
-63994,0
-6,0
0,-3993
0,-0
63994,0
6,0
0,-4006
0,-0
-63994,0
-6,0
0,-3993
0,-0
63994,0
6,0
0,-4006
0,-0
-63994,0
-6,0
0,-3993
0,-0
63994,0
6,0
0,-4006
0,-0
-64000,0
-6,0
0,6
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
3193,0
0,0
0,31997
0,3
3206,0
0,0
0,-31997
0,-3
